utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99%,59%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,59%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,59%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,60%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,60%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,60%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,60%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,57%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,57%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,57%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,59%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,59%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,59%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,59%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,54%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,57%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,57%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,57%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,57%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,58%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
87%,51%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
87%,51%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
87%,51%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
87%,51%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,56%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,59%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,59%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,59%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
99%,59%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
100%,55%, 12209 MiB, 9088 MiB, 3121 MiB,3004 MHz
